Title,Country,Year,Rating, Votes,Director,Genres,Runtime,Dashboard Link,Link,Plot Summary
After Life,United Kingdom,"2,019",8.4,"97,030",-,"Comedy,Drama",30,Dashboard Link,IMDB Link,"After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm."
Modern Family,United States,"2,009",8.4,"395,580",-,"Comedy,Drama,Romance",22,Dashboard Link,IMDB Link,Three different but related families face trials and tribulations in their own uniquely comedic ways.
Taboo,United Kingdom,"2,017",8.4,"123,059",-,"Drama,Mystery,Thriller",59,Dashboard Link,IMDB Link,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost - even murder."
Luther,United Kingdom,"2,010",8.4,"129,892",-,"Crime,Drama,Mystery",60,Dashboard Link,IMDB Link,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.
The Americans,United States,"2,013",8.4,"92,637",-,"Crime,Drama,Mystery",44,Dashboard Link,IMDB Link,"At the height of the Cold War two Russian agents pose as your average American couple, complete with family."
The Legend of Korra,United States,"2,012",8.4,"113,865",-,"Action,Adventure,Animation",23,Dashboard Link,IMDB Link,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
Banshee,United States,"2,013",8.4,"94,981",-,"Action,Crime,Drama",60,Dashboard Link,IMDB Link,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania; where he has some unfinished business."
Maid,United States,"2,021",8.4,"58,842",-,Drama,545,Dashboard Link,IMDB Link,"After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future."
Person of Interest,United States,"2,011",8.4,"170,078",-,"Action,Crime,Drama",43,Dashboard Link,IMDB Link,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery."
Suits,United States,"2,011",8.4,"385,540",-,"Comedy,Drama",44,Dashboard Link,IMDB Link,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers."
The Handmaid's Tale,United States,"2,017",8.4,"208,666",-,"Drama,Sci-Fi,Thriller",60,Dashboard Link,IMDB Link,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
Supernatural,United States,"2,005",8.4,"416,510",-,"Drama,Fantasy,Horror",44,Dashboard Link,IMDB Link,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
Prison Break,United Kingdom,"2,005",8.3,"505,175",-,"Action,Crime,Drama",44,Dashboard Link,IMDB Link,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
Californication,United States,"2,007",8.3,"176,489",-,"Comedy,Drama",28,Dashboard Link,IMDB Link,"A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women."
Loki,United States,"2,021",8.3,"240,014",-,"Action,Adventure,Fantasy",-,Dashboard Link,IMDB Link,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”
Psych,United States,"2,006",8.3,"92,081",-,"Comedy,Crime,Mystery",44,Dashboard Link,IMDB Link,"A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases."
Ray Donovan,United States,"2,013",8.3,"82,024",-,"Crime,Drama",60,Dashboard Link,IMDB Link,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family."
MythBusters,United States,"2,003",8.3,"51,613",-,"Documentary,Mystery,Reality-TV",44,Dashboard Link,IMDB Link,A weekly documentary in which two Hollywood special effects experts attempt to debunk urban legends by directly testing them.
Lost,United States,"2,004",8.3,"525,652",-,"Adventure,Drama,Fantasy",44,Dashboard Link,IMDB Link,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
The Morning Show,United States,"2,019",8.3,"85,601",-,Drama,60,Dashboard Link,IMDB Link,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual."
Pushing Daisies,United States,"2,007",8.3,"55,669",-,"Comedy,Drama,Fantasy",44,Dashboard Link,IMDB Link,"A pie-maker, with the power to bring dead people back to life, solves murder mysteries with his alive-again childhood sweetheart, a cynical private investigator, and a lovesick waitress."
Barry,United States,"2,018",8.3,"56,358",-,"Action,Comedy,Crime",30,Dashboard Link,IMDB Link,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
Sex Education,United Kingdom,"2,019",8.3,"240,262",-,"Comedy,Drama",45,Dashboard Link,IMDB Link,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
Sense8,United States,"2,015",8.3,"147,863",-,"Drama,Mystery,Sci-Fi",60,Dashboard Link,IMDB Link,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
Master of None,United States,"2,015",8.3,"71,668",-,"Comedy,Drama",30,Dashboard Link,IMDB Link,"The personal and professional life of Dev, a 30-year-old actor in New York."
The Pacific,United States,"2,010",8.3,"106,464",-,"Action,Adventure,Drama",530,Dashboard Link,IMDB Link,"The Pacific Theatre of World War II, as seen through the eyes of several young Marines."
Atypical,United States,"2,017",8.3,"79,386",-,"Comedy,Drama",30,Dashboard Link,IMDB Link,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence."
Veronica Mars,United States,"2,004",8.3,"70,325",-,"Crime,Drama,Mystery",44,Dashboard Link,IMDB Link,"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune."
The Leftovers,United States,"2,014",8.3,"90,052",-,"Drama,Fantasy,Mystery",60,Dashboard Link,IMDB Link,"Three years after the disappearance of two percent of the global population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event."
Castlevania,United States,"2,017",8.3,"57,441",-,"Action,Adventure,Animation",23,Dashboard Link,IMDB Link,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.
24,United States,"2,001",8.3,"180,163",-,"Action,Crime,Drama",44,Dashboard Link,IMDB Link,Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.
The Good Wife,United States,"2,009",8.3,"72,243",-,"Crime,Drama,Mystery",43,Dashboard Link,IMDB Link,"Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm."
Homeland,United States,"2,011",8.3,"329,109",-,"Crime,Drama,Mystery",55,Dashboard Link,IMDB Link,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
Blue Mountain State,Canada,"2,010",8.3,"51,156",-,"Comedy,Sport",22,Dashboard Link,IMDB Link,"Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing."
Naruto,Japan,"2,002",8.3,"86,698",-,"Action,Adventure,Animation",24,Dashboard Link,IMDB Link,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
Star Wars: The Clone Wars,United States,"2,008",8.3,"77,705",-,"Action,Adventure,Animation",23,Dashboard Link,IMDB Link,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
Hell on Wheels,Canada,"2,011",8.3,"50,044",-,"Drama,Western",42,Dashboard Link,IMDB Link,"The Civil War is past, but former Confederate soldier Cullen Bohannon can't put it behind him. Fresh are the memories of the death of his wife, killed at the hands of the Union soldiers, an act that sets him on a course of revenge."
Scrubs,United States,"2,001",8.3,"246,782",-,"Comedy,Drama",22,Dashboard Link,IMDB Link,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
Extras,United Kingdom,"2,005",8.3,"55,300",-,"Comedy,Drama",30,Dashboard Link,IMDB Link,"Andy Millman (Ricky Gervais) is an actor with ambition and a script. Reduced to working as an extra with a useless agent, Andy's attempts to boost his career invariably end in failure and embarrassment."
How I Met Your Mother,United States,"2,005",8.3,"643,414",-,"Comedy,Romance",22,Dashboard Link,IMDB Link,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
Veep,United States,"2,012",8.3,"50,700",-,Comedy,28,Dashboard Link,IMDB Link,Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about.
Orphan Black,Canada,"2,013",8.3,"106,710",-,"Action,Drama,Sci-Fi",44,Dashboard Link,IMDB Link,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.
Godless,United States,"2,017",8.3,"60,678",-,"Action,Drama,Western",452,Dashboard Link,IMDB Link,"In the 1880s American West murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle, New Mexico - a town inhabited, after a mining disaster, almost entirely by women."
Forever,United States,"2,014",8.3,"55,720",-,"Crime,Drama,Fantasy",43,Dashboard Link,IMDB Link,A 200-year-old man works in the New York City Morgue trying to find a key to unlock the curse of his immortality.
Legion,United States,"2,017",8.2,"87,053",-,"Action,Drama,Sci-Fi",60,Dashboard Link,IMDB Link,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever."
Eastbound & Down,United States,"2,009",8.2,"54,680",-,"Comedy,Drama,Sport",28,Dashboard Link,IMDB Link,"Many years after he turned his back on his hometown, a burned-out major league ballplayer returns to teach Physical Education at his old middle school."
The Good Place,United States,"2,016",8.2,"137,805",-,"Comedy,Drama,Fantasy",22,Dashboard Link,IMDB Link,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
The Walking Dead,United States,"2,010",8.2,"917,961",-,"Drama,Horror,Thriller",44,Dashboard Link,IMDB Link,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Chuck,United States,"2,007",8.2,"133,119",-,"Action,Comedy,Drama",43,Dashboard Link,IMDB Link,"When a twenty-something computer geek inadvertently downloads critical government secrets into his brain, the C.I.A. and the N.S.A. assign two agents to protect him and exploit such knowledge, turning his life upside down."
Black Sails,South Africa,"2,014",8.2,"99,182",-,"Adventure,Drama",56,Dashboard Link,IMDB Link,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island."""
Money Heist,Spain,"2,017",8.2,"426,094",-,"Action,Crime,Drama",70,Dashboard Link,IMDB Link,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Penny Dreadful,Ireland,"2,014",8.2,"117,491",-,"Drama,Fantasy,Horror",60,Dashboard Link,IMDB Link,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London."
11.22.63,United States,"2,016",8.2,"80,350",-,"Drama,Mystery,Romance",60,Dashboard Link,IMDB Link,A high school teacher travels back in time to prevent John F. Kennedy's assassination.
The Witcher,Poland,"2,019",8.2,"396,173",-,"Action,Adventure,Drama",60,Dashboard Link,IMDB Link,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
Watchmen,United States,"2,019",8.2,"107,086",-,"Crime,Drama,Mystery",527,Dashboard Link,IMDB Link,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own."
30 Rock,United States,"2,006",8.2,"118,548",-,Comedy,22,Dashboard Link,IMDB Link,"Liz Lemon (Tina Fey), head writer of the sketch comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star, all while trying to run a successful television show without losing her mind."
The Originals,United States,"2,013",8.2,"127,403",-,"Drama,Fantasy,Horror",45,Dashboard Link,IMDB Link,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.
Skins,United Kingdom,"2,007",8.2,"79,521",-,Drama,46,Dashboard Link,IMDB Link,The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures.
Killing Eve,United States,"2,018",8.2,"100,880",-,"Action,Adventure,Drama",42,Dashboard Link,IMDB Link,"After a series of events, the lives of a security operative and an assassin become inextricably linked."
Misfits,United Kingdom,"2,009",8.2,"97,710",-,"Comedy,Drama,Fantasy",60,Dashboard Link,IMDB Link,"A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers."
The Killing,United States,"2,011",8.2,"105,947",-,"Crime,Drama,Mystery",45,Dashboard Link,IMDB Link,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
White Collar,United States,"2,009",8.2,"125,808",-,"Comedy,Crime,Drama",40,Dashboard Link,IMDB Link,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman."
Travelers,Canada,"2,016",8.1,"52,017",-,"Drama,Mystery,Sci-Fi",45,Dashboard Link,IMDB Link,"Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity."
Good Omens,United Kingdom,"2,019",8.1,"69,374",-,"Comedy,Fantasy",328,Dashboard Link,IMDB Link,"A tale of the bungling of Armageddon features an angel, a demon, an eleven-year-old Antichrist, and a doom-saying witch."
Stargate: Atlantis,Canada,"2,004",8.1,"64,325",-,"Action,Adventure,Drama",44,Dashboard Link,IMDB Link,"An international team of scientists and military personnel discover a Stargate network in the Pegasus Galaxy and come face-to-face with a new, powerful enemy, The Wraith."
The Good Doctor,United States,"2,017",8.1,"83,232",-,Drama,41,Dashboard Link,IMDB Link,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
The Night Manager,United Kingdom,"2,016",8.1,"83,130",-,"Crime,Drama,Mystery",358,Dashboard Link,IMDB Link,The night manager of a Cairo hotel is recruited to infiltrate an arms dealer's inner circle.
Tom Clancy's Jack Ryan,United States,"2,018",8.1,"103,462",-,"Action,Drama,Thriller",60,Dashboard Link,IMDB Link,"An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit."
The Tudors,Ireland,"2,007",8.1,"72,074",-,"Drama,History,Romance",60,Dashboard Link,IMDB Link,A dramatic series about the reign and marriages of King Henry VIII.
Bob's Burgers,United States,"2,011",8.1,"73,186",-,"Animation,Comedy",22,Dashboard Link,IMDB Link,"Bob Belcher, along with his wife and 3 children, try to run their last hope of holding the family together, which is running Bob's dream restaurant."
Criminal Minds,United States,"2,005",8.1,"181,773",-,"Crime,Drama,Mystery",42,Dashboard Link,IMDB Link,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again."
Bodyguard,United Kingdom,"2,018",8.1,"110,255",-,"Crime,Drama,Thriller",60,Dashboard Link,IMDB Link,A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.
How to Get Away with Murder,United States,"2,014",8.1,"141,808",-,"Crime,Drama,Mystery",43,Dashboard Link,IMDB Link,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
The End of the F***ing World,United Kingdom,"2,017",8.1,"168,218",-,"Adventure,Comedy,Crime",25,Dashboard Link,IMDB Link,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father."
Sharp Objects,United States,"2,018",8.1,"87,797",-,"Crime,Drama,Mystery",421,Dashboard Link,IMDB Link,A reporter confronts the psychological demons from her past when she returns to her hometown to cover a violent murder.
Lucifer,United States,"2,016",8.1,"298,254",-,"Crime,Drama,Fantasy",42,Dashboard Link,IMDB Link,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
The Mentalist,United States,"2,008",8.1,"174,283",-,"Crime,Drama,Mystery",43,Dashboard Link,IMDB Link,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter."
Castle,United States,"2,009",8.1,"152,463",-,"Comedy,Crime,Drama",43,Dashboard Link,IMDB Link,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes."
Bates Motel,United States,"2,013",8.1,"103,226",-,"Drama,Horror,Mystery",45,Dashboard Link,IMDB Link,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is."
The Fall,United Kingdom,"2,013",8.1,"96,301",-,"Crime,Drama,Thriller",60,Dashboard Link,IMDB Link,A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.
Manhunt,United States,"2,017",8.1,"55,781",-,"Biography,Crime,Drama",60,Dashboard Link,IMDB Link,"An in-depth look at how an FBI profiler helped track down the terrorist Ted Kaczynski, the Unabomber."
The Big Bang Theory,United States,"2,007",8.1,"763,022",-,"Comedy,Romance",22,Dashboard Link,IMDB Link,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
